,Metric,Value
0,Total Returns (%),-7.4504353098575375
1,Volatility,0.000161847281091098
2,Sharpe Ratio,-2.8330219899668045
3,Win Rate (%),[94.29480763]
4,Maximum Drawdown (%),9.490231645360701
