,Metric,Value
0,Total Returns (%),-9.73900601098832
1,Volatility,0.0001464346585510557
2,Sharpe Ratio,-4.193417957610711
3,Win Rate (%),[94.03783218]
4,Maximum Drawdown (%),13.482091760425488
