,Metric,Value
0,Total Returns (%),-7.295137193963723
1,Volatility,0.00019678612372129003
2,Sharpe Ratio,-2.182560994531451
3,Win Rate (%),[74.98657667]
4,Maximum Drawdown (%),12.175144522057415
