,Metric,Value
0,Total Returns (%),-10.378394378046796
1,Volatility,0.00019264243518970692
2,Sharpe Ratio,-3.2787260506031726
3,Win Rate (%),[74.97781041]
4,Maximum Drawdown (%),13.656267539345826
