,Metric,Value
0,Total Returns (%),-6.975202792455093
1,Volatility,0.00019022084270958636
2,Sharpe Ratio,-2.1573514916223386
3,Win Rate (%),[74.96082578]
4,Maximum Drawdown (%),11.023695579322869
