,Metric,Value
0,Total Returns (%),-10.583359919165831
1,Volatility,0.00022317360991876798
2,Sharpe Ratio,-2.846986042632495
3,Win Rate (%),[62.31001874]
4,Maximum Drawdown (%),12.732346901151399
