,Metric,Value
0,Total Returns (%),-2.5505960378475026
1,Volatility,0.00014947334763311786
2,Sharpe Ratio,-0.8972370200546674
3,Win Rate (%),[77.83278959]
4,Maximum Drawdown (%),8.414341385088282
