,Metric,Value
0,Total Returns (%),-6.469235324236716
1,Volatility,0.0001458824199175169
2,Sharpe Ratio,-2.515572043616965
3,Win Rate (%),[78.22105713]
4,Maximum Drawdown (%),11.041990887007774
