,Metric,Value
0,Total Returns (%),-8.540325625302852
1,Volatility,0.0001807102261873254
2,Sharpe Ratio,-2.6821916751944146
3,Win Rate (%),[67.18539906]
4,Maximum Drawdown (%),11.70400365750376
