,Metric,Value
0,Total Returns (%),2.3015991713567057
1,Volatility,0.000151424373423156
2,Sharpe Ratio,0.9326568172582955
3,Win Rate (%),[77.6066042]
4,Maximum Drawdown (%),8.650771746228429
