,Metric,Value
0,Total Returns (%),-5.802815035028441
1,Volatility,0.00016495234569831126
2,Sharpe Ratio,-2.123851441823859
3,Win Rate (%),[94.05807533]
4,Maximum Drawdown (%),11.930650164873063
