,Metric,Value
0,Total Returns (%),1.5151948522282066
1,Volatility,0.0001875636623320045
2,Sharpe Ratio,0.8593012399004416
3,Win Rate (%),[65.8911859]
4,Maximum Drawdown (%),11.09715457408283
