,Metric,Value
0,Total Returns (%),2.931957058114803
1,Volatility,0.00018618218288679473
2,Sharpe Ratio,1.2856642932205224
3,Win Rate (%),[65.86720196]
4,Maximum Drawdown (%),11.503541736199242
