,Metric,Value
0,Total Returns (%),0.5551982582496595
1,Volatility,0.0002218682712812436
2,Sharpe Ratio,0.6598769660310291
3,Win Rate (%),[89.63639446]
4,Maximum Drawdown (%),8.59809068509569
