,Metric,Value
0,Total Returns (%),1.4187218536267057
1,Volatility,0.0002203049568949891
2,Sharpe Ratio,0.9605603322887221
3,Win Rate (%),[89.62297467]
4,Maximum Drawdown (%),8.598090685095235
