,Metric,Value
0,Total Returns (%),7.508983426359925
1,Volatility,0.0002234774603619813
2,Sharpe Ratio,2.261506603983121
3,Win Rate (%),[61.43957083]
4,Maximum Drawdown (%),11.193546294247401
