,Metric,Value
0,Total Returns (%),7.488671384967793
1,Volatility,0.00022350646011879164
2,Sharpe Ratio,2.2563391354290543
3,Win Rate (%),[61.43529625]
4,Maximum Drawdown (%),11.971796628512752
